bucket_low_ns,bucket_high_ns,count
0,2,2410117
32,64,2486105
64,128,59062
128,256,5166
256,512,287
512,1024,58
1024,2048,264
2048,4096,765
4096,8192,1262
8192,16384,2360
16384,32768,4444
32768,65536,7732
65536,131072,11676
131072,262144,9233
262144,524288,1400
524288,1048576,69
